Course Number,Description,Instructor,Terms Offered,Prerequisites,Equivalent Courses
ANTH 10100,"Classically defined as the 'science of humankind' or the 'study of human diversity', anthropology examines how people organize themselves into groups and relate to the environment through their cultural beliefs and practices. Students will be introduced to the types of arguments, questions, and problems that have driven anthropological thinking, and to the discipline's unique focus on intensive fieldwork methodologies that span ethnography, archaeology, linguistics, and even biology. We will examine how anthropologists have historically studied topics like belief, kinship, ritual, politics, exchange, and material culture in the non-western world in order to unsettle western norms and assumptions. And we will explore how post-colonial critiques and indigenous perspectives have redefined the discipline in the twenty-first century. Students will learn how anthropologists are today contributing to solving complex global problems, from climate change to economic inequality, racism, violence, immigration, health disparities, political technologies, and the effects of social media. This course serves as a sampler for those curious about the field and it fulfills a basic requirement for those pursing the Anthropology major or minor. Offered at least once yearly by rotating faculty who will provide their unique take on the discipline.",Staff,,,
ANTH 10107,"The crisis of nature and technology is at the heart of the 21st century mode of production as unprecedented planetary scale ecological destruction, climate change, and exhaustion of fossil fuels undercut the dynamics of capitalist accumulation. At the same time, novel techno-natural fixes are being designed to contain the crises immanent to the life process of capital.  However, these movements are far from seamless; new tensions, contradictions, and horizons of struggles emerge making a critical inquiry of these concepts urgent to Anthropological thinking. In this course, the students will be introduced to foundational approaches to these problems.  
The first half of the course will intensively engage with dialectical materialist frameworks to understand the interrelationship between nature, technology, and consciousness in the capitalist mode of production. From this engagement, we will derive critical concepts that will be used to engage with the pertinent questions of planetary scale appropriation of human, non-human and more-than-human life in emergent anthropological theory and ethnographic literature. In doing so, our goal is to reflect on a series of questions: What is the place of nature and technology in the capitalist mode of production? How and if they embody limits to the workings of capital? How does anthropology allow us to develop new political and theoretical horizons that emerge in the wake of these developments?",,,,
ANTH 12800,"Whose land are we on? What does it mean to be Indigenous, for generations past and in the twenty-first century? From debates over claims of Indigenous ancestry by political actors to the struggles of sacred lands protection against natural resource extraction, understanding the stakes of these concerns for Indigenous peoples and nations is more relevant than ever. This seminar-part of the sequence for majors in the Department of Race, Diaspora, and Indigeneity-introduces students to core texts and concepts in the field of Native American and Indigenous Studies (NAIS). Topics will include sovereignty and governance, settler colonialism, citizenship and nationhood, blood quantum and racialization, diasporas and urban indigeneity, and relationships to land and environment. Course activities may include engagement with Indigenous films, dialogues with visiting Indigenous scholars, and field trips to Chicago-area cultural institutions.",Teresa Montoya and Matthew Kruer,Autumn,,
ANTH 20006,"This course approaches bodies as points of insight into governance, the varied experiences of being governed, and efforts to evade and reconfigure institutional expressions of authority. First, we will examine bodies as targets of governance, objects to be reformed, regulated, contained, disciplined, educated, incarcerated, treated, trained, and ""cared"" for. Next, we will consider how bodies accrue power as sites of resistance, refusal, and critique. Certain bodies in certain places elicit discomfort, unsettling familiar divisions such as of private and public space, of developed and backward, of religious and secular, of reason and madness, of citizenship and (often racialized) non-citizenship. Finally, we will ask how bodies and sensory practices figure in ethical projects of crafting exemplary kinds of subjectivity or collectivity. In this way, the course will introduce students to anthropological approaches to embodiment as well as related questions of bio-politics, gender and race, political subjectivity, care and self-making, post/colonialism, sensory politics and the aesthetic. Along the way, students will gain a new appreciation of the political potency of bodies and bodily practices near and far-from Lenin's preserved body to Trump's ""small"" hands, reproductive labor to sex work, dirty protest to women's marches, indigenous eco-rituals to queer intimacies.",Mareike Winchell,,,
ANTH 20537,"In America, the Black Panther Party and its leaders, like Fred Hampton in Chicago, are famous for their revolutionary fight against white supremacy and their violent suppression by US government forces. But what does a Global Studies approach teach us about the Black Panthers? This seminar explores how the Black Panther Party's worldwide networks impacted global understandings of politics, race, and religion. Our readings examine a series of comparative case studies, including the Dalit Panther Party in India, the Mizrahi Black Panther Party in Israel, and the Polynesian Panthers in New Zealand. We analyze primary sources, such as the various Panther Parties' publications, their mainstream press coverage, and their pop cultural representations, like Ta-Nehisi Coates' Black Panther graphic novel and the film Black Panther: Wakanda Forever. In this course, students learn the global Black Panther Parties' roles in reshaping worldwide conceptions of race, caste, and religion through their encounters with the Nation of Islam, Hindu Nationalism, Zionism, and Indigenous rights. No prior knowledge or coursework is required.",Andrew Kunze,Spring,,
ANTH 20700,"The global coronavirus pandemic has made evident the significance of ecological (im)balances for the well-being of societies. The relationship between structural inequalities, changing environments and health, especially for historically and socio-economically marginalized communities, is now well established. At the same time, a growing body of literature links the material conditions of marginalized communities-for instance, spaces of dwelling and conditions of labor-to health status, globally. Based on a set of interdisciplinary literature arranged through anthropological theories, this course will critically engage with notions of health and well-being for indigenous communities, tracing injustices that stem histories of racial, caste- and ethnicity-based, and environmental exclusions. The readings are organized around one central question: What does it mean to be indigenous in a changing planet where social, political, and economic systems are marked by enduring legacies of systemic violence? This graduate and undergraduate level course will introduce contexts within which structural exclusions lead to ill-health and loss of well-being among indigenous communities across the globe. The aim is to develop critical thinking on the political economy and political ecologies of indigenous health as imbricated with issues of social, economic, and environmental justice.",Sanghamitra Das,,,
ANTH 21107,"Since its inception as an academically institutionalized discipline, anthropology has always addressed the relation between a self-consciously modernizing ""West"" and its various and changing ""others."" Yet it has not always done so with sufficient critical attention to its own concepts and categories - a fact that has led, since at least the 1980s, to considerable debate about the nature of the anthropological enterprise and its epistemological foundations. This course provides a brief critical introduction to the history of anthropological thought over the course of the discipline's ""long"" twentieth century, from the 1880s to the present. Although it centers on the North American and British traditions, we will review important strains of French and, to a lesser extent, German social theory in chronicling the emergence and transformation of ""modern"" anthropology as an empirically based, but theoretically informed practice of knowledge production about human sociality and culture.",Stephan Palmie,,Preference for Anthropology majors,
ANTH 21201,"This course is an anthropological and historical exploration of one of the most original and influential American musical genres in its social and cultural context. We examine transformations in the cultural meaning of the blues and its place within broader American cultural currents, the social and economic situation of blues musicians, and the political economy of blues within the wider music industry.",Michael Dietler,"Autumn
Note(s): The course qualifies as an Introductory Level selection for Anthropology majors. (Cap 30)",,
ANTH 21303,"What's natural about nature? Humans have ""made"" the natural world both materially, through millennia of direct action in and on the landscape, and conceptually, through the creation of various ideas about nature, ecosystem, organism, and ecology. In this course we will consider how the conceptual underpinnings of contemporary Western notions of nature, environment, balance, power and race are intertwined. We will trace this trajectory using the lens of the historical development of the field of ecology, then broaden our view to consider worldviews and ontologies about the environment from non-Western cultures. How then do these worldviews influence attitudes and policies towards land, environment, and its stewardship? Taking examples from current environmental topics (e.g. land rights, environmental justice, park access, conservation, extinction) we will evaluate the extent and character of human entanglement with the environment. Throughout the course student voices will be prominent in the many discussion-based class sessions.",Christopher Kindell,Winter. Winter,,
ANTH 21306,"A study of storytelling in non-literate and folk societies, antecedent to the complexities of modern narrativity, itself anchored in and energized by literacy. The main objects of our study will be the vast body of folktales and collateral folklore collected by anthropologists and folklorists in traditional societies. Despite the impact of literacy on modern minds this course argues for the persistence of ancient themes, plots, characters and motifs.. A further argument is made for the foundational role of storytelling in the creation of culture and construction of society …an argument, in short, that humans are, by nature, story-telling creatures whose sapience lies primarily in the capacity to create, be entertained by, and even live by, fictions  The central place of storytelling is shown in the humanistic and social sciences: anthropology, economics, history, philosophy, politics, psychoanalysis. Student story-telling and even performance, of brief stories is encouraged and reflected upon  in light of the main arguments of the course.",James Fernandez,,,
ANTH 21405,"Drawing on ethnography and cultural theory, this course examines the profound impact of neoliberal ideology on the everyday lives of individuals and communities across the globe. We will explore the ways neoliberalism, the idea that the mechanisms of free markets naturally precipitate economic growth and thus societal progress, shapes institutions, social norms, and, most importantly, individuals' understandings of themselves and others. Students will analyze the penetration of market logics into spheres of social life far beyond what used to be understood as ""the marketplace,"" such as education, politics and governance, healthcare, and the family. They will reflect on the effects of market logics on lived realities, both in material and ideological terms. As unfettered global markets produce growing inequality and insecurity, neoliberal tenets valorizing competition and productivity tell those who suffer from and witness such negative effects that they are unavoidable; the result of some people working harder and being better than others. This course will question neoliberalism's normative assumptions, drawing on ethnographic accounts of contemporary life in various regions and contexts across the globe. Students will end the course with an understanding of neoliberalism as an ideology and the ability to engage in discussions on neoliberalism that have emerged recently in the qualitative social sciences.","Gross, Tori",Winter,,
ANTH 21420,"This course introduces students to the theory and practice of ethnographic methods. In the class, we will consider the ways ethnography works as both a mode of inquiry and a form of knowledge production. We will examine the kinds of questions anthropologists ask, as well as the relationship between research questions, methodological approaches, data analysis, and knowledge. We will examine the ways scholars marshal evidence to address their questions, and practically, how they arrive at that evidence. We will study different components of ethnographic fieldwork, such as participant observation, interviewing, photography, object analysis, archival work, digital methods, and qualitative surveys. In so doing, we will engage with the complexities surrounding ethnographic research, including how one negotiates access during fieldwork, the racialized and gendered subjectivities that inhere in fieldwork, the ethics of knowledge production, and the politics of representation. The class entails both critical engagement with scholarship, and practical exercises. The goal is to give students practical, theoretically grounded insights into fieldwork in order to help them understand how to develop and carry out a research project.",Kathryn Takabvirwa,,,
ANTH 21424,"Ethnographic renderings of spaces, surroundings, place, setting, and location have clearly always functioned as more than narrative set dressing. Critical perspectives on ethnographic research and writing have pointed out the authorization, exotification, and material conditions of mobility that undergird the 'where' in 'being there'. However, contemporary anthropologists are writing space and place in ways that push ethnographic methods and writing past prior problematics and paradigms of comparison, localization, and totalizing description. How does space become an ethnographic doorway into questions of history, power, infrastructure, and affect?",,,,
